Chapter,Chapter Name,Element Title,Type,Bloom Levels,UI Elements,Difficulty,Learning Objective
01,Foundations Of Geometry,"3D visualization of parallel, perpendicular, and skew lines",Diagram,Understanding,0,Medium,"Students will **understand** the differences between parallel, perpendicular, and skew line relation..."
01,Foundations Of Geometry,Comparison of rays and line segments,Diagram,Understanding,4,Medium,Students will **understand** the differences between rays and line segments by comparing their visua...
01,Foundations Of Geometry,Interactive angle creation and measurement,Microsim,"Analyzing, Creating",9,Hard,Students will **create** angles of various measures and **analyze** the relationship between ray pos...
01,Foundations Of Geometry,Interactive reasoning challenge game,Microsim,"Evaluating, Creating",10,Hard,"Students will **evaluate** mathematical statements by applying inductive and deductive reasoning, an..."
01,Foundations Of Geometry,Interactive visualization of undefined terms,Microsim,Applying,6,Medium,"Students will **apply** their understanding of points, lines, and planes by manipulating interactive..."
01,Foundations Of Geometry,Visual examples of collinear and coplanar arrangements,Diagram,Analyzing,7,Medium,Students will **analyze** point arrangements to determine whether sets of points are collinear or co...
01,Foundations Of Geometry,"Visual representation of point, line, and plane",Diagram,"Remembering, Understanding",5,Medium,"Students will **remember** the three undefined terms of geometry (point, line, plane) and **understa..."
01,Foundations Of Geometry,Visual summary of all concepts and their relationships,Unknown,"Remembering, Evaluating",2,Easy,Students will **evaluate** their understanding of the chapter by exploring connections between conce...
12,Area Volume Applications,Interactive circle measurement tool,Microsim,"Applying, Analyzing",13,Hard,Students will **apply** circle formulas to calculate circumference and area for circles of varying s...
12,Area Volume Applications,Interactive demonstration of Cavalieri's Principle,Microsim,"Understanding, Evaluating",14,Very Hard,Students will **understand** Cavalieri's Principle by comparing right and oblique solids with identi...
12,Area Volume Applications,Interactive exploration of 3D solid cross-sections,Microsim,"Analyzing, Evaluating",23,Very Hard,"Students will **analyze** how different planes intersect 3D solids to create various cross-sections,..."
12,Area Volume Applications,Interactive exploration of 3D solid nets,Microsim,"Understanding, Analyzing",16,Very Hard,Students will **understand** the relationship between 2D nets and 3D solids by **analyzing** how net...
12,Area Volume Applications,Interactive exploration of regular polygon areas,Microsim,"Applying, Analyzing",15,Very Hard,Students will **apply** the regular polygon area formula to polygons with different numbers of sides...
12,Area Volume Applications,Interactive exploration of triangle area formula,Microsim,"Applying, Analyzing",15,Hard,Students will **apply** the triangle area formula to various triangles and **analyze** how changing ...
12,Area Volume Applications,Interactive optimization problem solver,Microsim,"Analyzing, Evaluating, Creating",21,Very Hard,"Students will **analyze** how dimension changes affect volume under constraints, **evaluate** differ..."
12,Area Volume Applications,Interactive scale model creation and analysis,Microsim,"Applying, Analyzing, Creating",23,Very Hard,"Students will **apply** scale factor relationships to create accurate scale models, **analyze** how ..."
12,Area Volume Applications,Interactive surface area calculation tool,Microsim,"Applying, Analyzing",19,Very Hard,Students will **apply** surface area formulas to calculate the total surface area of various 3D soli...
12,Area Volume Applications,Interactive volume calculation and comparison tool,Microsim,"Applying, Analyzing, Evaluating",31,Very Hard,"Students will **apply** volume formulas to various 3D solids, **analyze** how dimension changes affe..."
12,Area Volume Applications,Visual catalog of common 3D solids,Diagram,"Remembering, Understanding",0,Easy,Students will **remember** the names and visual characteristics of common three-dimensional solids a...
12,Area Volume Applications,Visual comparison of different packaging arrangements,Diagram,"Analyzing, Evaluating, Creating",3,Hard,"Students will **analyze** different packaging arrangements for efficiency, **evaluate** which design..."
12,Area Volume Applications,Visual comparison of polygon perimeters approaching circle circumference,Diagram,"Understanding, Analyzing",0,Easy,Students will **understand** how regular polygon perimeters approach the circumference of a circle a...
12,Area Volume Applications,Visual comparison of volume formulas and relationships,Diagram,"Understanding, Analyzing",0,Easy,Students will **understand** the relationships between volume formulas for different solids and **an...
12,Area Volume Applications,Visual guide to circle measurements,Diagram,"Remembering, Understanding",1,Easy,"Students will **understand** the relationship between radius, diameter, circumference, and area of a..."
12,Area Volume Applications,"Visual guide to how scale affects length, area, and volume",Diagram,"Understanding, Analyzing",0,Easy,"Students will **understand** how scale factors affect length, area, and volume differently, and **an..."
12,Area Volume Applications,Visual guide to quadrilateral area formulas,Diagram,"Remembering, Understanding",0,Easy,"Students will **remember** area formulas for rectangles, squares, parallelograms, trapezoids, rhombu..."
12,Area Volume Applications,Visual reference for surface area calculations,Diagram,"Remembering, Understanding",0,Medium,Students will **remember** surface area formulas for common solids and **understand** how these form...
